No.,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R
273,17/01/2016,Australia,Melbourne Cricket Ground,c G J Maxwell b J W Hastings,23,9,255.56,8884,51.65,89.34
274,20/01/2016,Australia,Manuka Oval,c †M S Wade b J W Hastings,0,3,0.00,8884,51.35,89.31
275,23/01/2016,Australia,Sydney Cricket Ground,c D A Warner b M R Marsh,34,42,80.95,8918,51.25,89.28
276,11/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-,-,8918,51.25,89.28
277,13/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-,-,8918,51.25,89.28
278,15/06/2016,Zimbabwe,Harare Sports Club,did not bat,-,-,-,8918,51.25,89.28
279,16/10/2016,New Zealand,Himachal Pradesh Cricket Association Stadium,run out,21,24,87.50,8939,51.08,89.27
280,20/10/2016,New Zealand,Arun Jaitley Stadium,c & b T G Southee,39,65,60.00,8978,51.01,89.09
281,23/10/2016,New Zealand,Punjab Cricket Association IS Bindra Stadium,c L R P L Taylor b M J Henry,80,91,87.91,9058,51.18,89.07
282,26/10/2016,New Zealand,JSCA International Stadium Complex,b J D S Neesham,11,31,35.48,9069,50.95,88.91
283,29/10/2016,New Zealand,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b M J Santner,41,59,69.49,9110,50.89,88.80
284,15/01/2017,England,Maharashtra Cricket Association Stadium,c D J Willey b J T Ball,6,6,100.00,9116,50.64,88.81
285,19/01/2017,England,Barabati Stadium,c D J Willey b L E Plunkett,134,122,109.84,9250,51.10,89.05
286,22/01/2017,England,Eden Gardens,c †J C Buttler b J T Ball,25,36,69.44,9275,50.96,88.99
287,04/06/2017,Pakistan,Edgbaston,did not bat,-,-,-,9275,50.96,88.99
288,08/06/2017,Sri Lanka,Kennington Oval,c L D Chandimal b N L T C Perera,63,52,121.15,9338,51.03,89.15
289,11/06/2017,South Africa,Kennington Oval,did not bat,-,-,-,9338,51.03,89.15
290,15/06/2017,Bangladesh,Edgbaston,did not bat,-,-,-,9338,51.03,89.15
291,18/06/2017,Pakistan,Kennington Oval,c Imad Wasim b Hasan Ali,4,16,25.00,9342,50.77,89.05
292,23/06/2017,West Indies,Queen's Park Oval,not out,9*,9,100.00,9351,50.82,89.06
293,25/06/2017,West Indies,Queen's Park Oval,not out,13*,13,100.00,9364,50.89,89.07
294,30/06/2017,West Indies,Sir Vivian Richards Stadium,not out,78*,79,98.73,9442,51.32,89.14
295,02/07/2017,West Indies,Sir Vivian Richards Stadium,c A S Joseph b K O K Williams,54,114,47.37,9496,51.33,88.70
296,06/07/2017,West Indies,Sabina Park,did not bat,-,-,-,9496,51.33,88.70
297,20/08/2017,Sri Lanka,Rangiri Dambulla International Stadium,did not bat,-,-,-,9496,51.33,88.70
298,24/08/2017,Sri Lanka,Pallekele International Cricket Stadium,not out,45*,68,66.18,9541,51.57,88.56
299,27/08/2017,Sri Lanka,Pallekele International Cricket Stadium,not out,67*,86,77.91,9608,51.94,88.47
300,31/08/2017,Sri Lanka,R Premadasa Stadium,not out,49*,42,116.67,9657,52.20,88.58
301,03/09/2017,Sri Lanka,R Premadasa Stadium,not out,1*,1,100.00,9658,52.21,88.58
302,17/09/2017,Australia,MA Chidambaram Stadium,c D A Warner b J P Faulkner,79,88,89.77,9737,52.35,88.59
303,21/09/2017,Australia,Eden Gardens,c S P D Smith b K W Richardson,5,10,50.00,9742,52.10,88.56
304,24/09/2017,Australia,Holkar Cricket Stadium,not out,3*,6,50.00,9745,52.11,88.53
305,28/09/2017,Australia,M Chinnaswamy Stadium,b K W Richardson,13,10,130.00,9758,51.90,88.57
306,01/10/2017,Australia,Vidarbha Cricket Association Stadium,did not bat,-,-,-,9758,51.90,88.57
307,22/10/2017,New Zealand,Wankhede Stadium,c M J Guptill b T A Boult,25,42,59.52,9783,51.76,88.46
308,25/10/2017,New Zealand,Maharashtra Cricket Association Stadium,not out,18*,21,85.71,9801,51.86,88.46
309,29/10/2017,New Zealand,Green Park,c C Munro b A F Milne,25,17,147.06,9826,51.72,88.55
310,10/12/2017,Sri Lanka,Himachal Pradesh Cricket Association Stadium,c M D Gunathilaka b N L T C Perera,65,87,74.71,9891,51.79,88.44
311,13/12/2017,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,lbw b N L T C Perera,7,5,140.00,9898,51.55,88.46
312,17/12/2017,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,-,9898,51.55,88.46
313,01/02/2018,South Africa,Kingsmead,not out,4*,3,133.33,9902,51.57,88.47
314,04/02/2018,South Africa,SuperSport Park,did not bat,-,-,-,9902,51.57,88.47
315,07/02/2018,South Africa,Newlands,c L Ngidi b Imran Tahir,10,22,45.45,9912,51.36,88.39
316,10/02/2018,South Africa,Wanderers Stadium,not out,42*,43,97.67,9954,51.58,88.42
317,13/02/2018,South Africa,St George's Park,c A K Markram b L Ngidi,13,17,76.47,9967,51.38,88.41
318,16/02/2018,South Africa,SuperSport Park,did not bat,-,-,-,9967,51.38,88.41
319,12/07/2018,England,Trent Bridge,did not bat,-,-,-,9967,51.38,88.41
320,14/07/2018,England,Lord's,c B A Stokes b L E Plunkett,37,59,62.71,10004,51.30,88.27
321,17/07/2018,England,Headingley,c †J C Buttler b D J Willey,42,66,63.64,10046,51.26,88.13
322,18/09/2018,Hong Kong,Dubai International Cricket Stadium,c †S S McKechnie b Ehsan Khan,0,3,0.00,10046,50.99,88.11
323,19/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-,-,10046,50.99,88.11
324,21/09/2018,Bangladesh,Dubai International Cricket Stadium,c Mohammad Mithun b Mashrafe Mortaza,33,37,89.19,10079,50.90,88.11
325,23/09/2018,Pakistan,Dubai International Cricket Stadium,did not bat,-,-,-,10079,50.90,88.11
326,25/09/2018,Afghanistan,Dubai International Cricket Stadium,lbw b Javed Ahmadi,8,17,47.06,10087,50.69,88.05
327,28/09/2018,Bangladesh,Dubai International Cricket Stadium,c †Mushfiqur Rahim b Mustafizur Rahman,36,67,53.73,10123,50.62,87.85
328,21/10/2018,West Indies,Barsapara Cricket Stadium,did not bat,-,-,-,10123,50.62,87.85
329,24/10/2018,West Indies,Dr YS Rajasekhara Reddy Cricket Stadium,b O C McCoy,20,25,80.00,10143,50.46,87.83
330,27/10/2018,West Indies,Maharashtra Cricket Association Stadium,c †S D Hope b J O Holder,7,11,63.64,10150,50.25,87.81
331,29/10/2018,West Indies,Brabourne Stadium,c C Hemraj b K A J Roach,23,15,153.33,10173,50.11,87.90
332,01/11/2018,West Indies,Greenfield International Stadium,did not bat,-,-,-,10173,50.11,87.90
333,12/01/2019,Australia,Sydney Cricket Ground,lbw b J P Behrendorff,51,96,53.13,10224,50.12,87.61
334,15/01/2019,Australia,Adelaide Oval,not out,55*,54,101.85,10279,50.39,87.67
335,18/01/2019,Australia,Melbourne Cricket Ground,not out,87*,114,76.32,10366,50.81,87.57
336,23/01/2019,New Zealand,McLean Park,did not bat,-,-,-,10366,50.81,87.57
337,26/01/2019,New Zealand,Bay Oval,not out,48*,33,145.45,10414,51.05,87.73
338,03/02/2019,New Zealand,Westpac Stadium,b T A Boult,1,6,16.67,10415,50.80,87.69
339,02/03/2019,Australia,Rajiv Gandhi International Stadium,not out,59*,72,81.94,10474,51.09,87.66
340,05/03/2019,Australia,Vidarbha Cricket Association Stadium,c U T Khawaja b A Zampa,0,1,0.00,10474,50.84,87.65
341,08/03/2019,Australia,JSCA International Stadium Complex,b A Zampa,26,42,61.90,10500,50.72,87.56
342,05/06/2019,South Africa,The Rose Bowl,c & b C H Morris,34,46,73.91,10534,50.64,87.51
343,09/06/2019,Australia,Kennington Oval,c & b M P Stoinis,27,14,192.86,10561,50.53,87.63
344,16/06/2019,Pakistan,Old Trafford,c †Sarfaraz Ahmed b Mohammad Amir,1,2,50.00,10562,50.30,87.62
345,22/06/2019,Afghanistan,The Rose Bowl,st Ikram Ali Khil b Rashid Khan,28,52,53.85,10590,50.19,87.48
346,27/06/2019,West Indies,Old Trafford,not out,56*,61,91.80,10646,50.45,87.50
347,30/06/2019,England,Edgbaston,not out,42*,31,135.48,10688,50.65,87.62
348,02/07/2019,Bangladesh,Edgbaston,c Shakib Al Hasan b Mustafizur Rahman,35,33,106.06,10723,50.58,87.67
349,06/07/2019,Sri Lanka,Headingley,did not bat,-,-,-,10723,50.58,87.67
350,09/07/2019,New Zealand,Old Trafford,run out,50,72,69.44,10773,50.58,87.56
